0	1007
1	29
10	472
100	2351
101	260
103	176
104	338
105	346
106	2051
107	392
108	43893
109	22
11	20
110	10
111	1042
113	50
114	249
115	72
117	19067
118	489617
119	70
12	294
120	38
121	899
122	3
124	244
126	524949
127	21
128	22359
13	254
130	254331
131	1325
133	708
134	307
135	362
138	4
141	608
142	20474
143	235
147	1
152	1
153	1
155	3
157	1
159	4
16	57884
160	902
161	781
162	1
163	6826
164	1176
165	1626
166	544
167	9
168	13413
169	1
17	128
170	385
172	2
173	42525
174	73
175	8148
176	444
177	152
179	195
18	709
181	552
182	19
184	5724
185	1415
186	1808
188	3779384
189	4682
19	1307
191	141686
192	1154
193	1120
194	847
195	4559
196	1061
197	944
198	5
199	1732
2	17
20	2522
200	30
201	15
202	50
204	50
205	176344
206	112936
208	1022
209	1224
210	1
211	235
212	332
213	5
214	58709
215	1597
216	607
219	3
22	38
220	436
23	30837
238	4
239	21
24	4538
240	7
241	11568
242	1708
243	8792
244	912
245	38
246	182
247	510
248	2774
249	4863
250	5
251	4945
253	2371
254	30
255	121
256	2
257	24
258	29
259	36
26	1631
260	191
261	28
263	115
264	17
265	563093
266	1617
267	7
269	880
27	511
270	5735
271	1290
272	970
273	676
274	40
276	2
277	5349
278	6225
279	967438
280	6
281	35
282	2
284	442
285	274919
286	7651
287	7
288	458
289	609
290	1256817
291	167
292	382
293	3076
294	680
295	28419
296	14
297	494
298	912774
299	648
300	51
301	725
302	582
303	17467
304	5
305	3531
306	1681
307	325
308	5
309	1501
32	4
34	1
35	1
38	430
39	693
4	67
40	7
41	1813
43	18105
44	767
46	37441
47	225
48	21
49	323289
50	1
51	1893539
53	95549
56	60108
57	957
59	21
6	12117
60	28998
61	240
62	22315
63	158
64	4545
65	109
66	1556
67	289
69	4984
7	390
71	54
72	28058
73	57
74	430
75	20486
76	14303
78	10
79	60561
8	55438
80	1781
81	10788
82	6381
83	139
84	332
85	109
86	315486
87	1
88	261
89	4
9	7329
91	3787
93	13
94	2
95	6
96	927
97	22491
98	12771
99	403798
