0	1123
1	23
10	535
100	1975
101	249
103	229
104	280
105	308
106	2064
107	393
108	50718
109	4
11	25
110	32
111	942
112	1
113	60
114	245
115	65
117	20790
118	568599
119	76
12	251
120	40
121	1203
122	5
124	218
126	557373
127	24
128	26252
13	258
130	245064
131	1336
133	692
134	334
135	321
138	3
140	2
141	697
142	24908
143	202
144	1
152	1
158	18
159	1
16	69573
160	885
161	594
163	7575
164	1079
165	1715
166	623
167	11
168	12578
169	1
17	191
170	276
172	2
173	52547
174	47
175	8910
176	543
177	173
179	270
18	611
181	599
182	4
184	6450
185	1559
186	2087
188	3909869
189	5159
19	1419
191	166913
192	1345
193	1295
194	992
195	5464
196	1227
197	1163
198	11
199	1450
2	40
20	2647
200	31
201	13
202	47
204	68
205	186734
206	120941
208	1256
209	1542
210	3
211	264
212	368
213	2
214	69248
215	1809
216	713
22	29
220	488
23	33293
238	4
239	25
24	4819
240	1
241	13918
242	1796
243	10170
244	747
245	34
246	47
247	526
248	2630
249	4975
250	12
251	5272
252	2
253	2819
254	30
255	121
256	5
257	35
258	34
259	62
26	1488
260	214
261	45
263	146
264	25
265	559953
266	1811
267	3
269	800
27	469
270	6987
271	1206
272	1046
273	563
274	40
277	5766
278	6961
279	945832
280	5
281	55
282	3
284	552
285	306323
286	7041
287	6
288	544
289	784
290	1622638
291	218
292	441
293	3053
294	651
295	31048
296	30
297	529
298	923943
299	844
300	51
301	734
302	596
303	19487
304	11
305	4359
306	1732
307	345
308	7
309	1655
38	236
39	803
4	69
40	17
41	1765
43	20854
44	654
46	43413
47	243
48	26
49	396097
50	1
51	1971798
52	1
53	108170
56	60167
57	1093
59	10
6	13720
60	35115
61	250
62	26254
63	117
64	5598
65	152
66	1593
67	360
69	5661
7	440
71	59
72	34395
73	54
74	332
75	21970
76	14996
78	14
79	58588
8	51156
80	2000
81	10488
82	6160
83	142
84	358
85	89
86	351223
87	5
88	210
89	3
9	8305
91	4520
93	36
94	11
95	9
96	1249
97	24466
98	14936
99	393618
