0	1076
1	33
10	529
100	1974
101	325
103	227
104	289
105	295
106	2267
107	370
108	51078
109	27
11	10
110	17
111	946
113	58
114	236
115	71
117	22487
118	571613
119	92
12	281
120	24
121	1159
122	2
124	312
126	574021
127	13
128	25683
13	281
130	264634
131	1391
133	616
134	276
135	322
138	2
141	717
142	23026
143	206
153	1
157	10
16	61517
160	920
161	589
163	7601
164	1066
165	1578
166	623
167	13
168	16471
169	2
17	131
170	311
171	1
172	4
173	45747
174	76
175	9367
176	494
177	199
179	253
18	659
181	538
182	20
184	6268
185	1452
186	1862
188	4042065
189	4942
19	1408
191	175189
192	1308
193	1177
194	875
195	4659
196	1156
197	1048
198	12
199	1527
2	24
20	2733
200	27
201	13
202	47
204	71
205	202983
206	124320
207	1
208	1163
209	1384
210	7
211	214
212	306
213	4
214	69845
215	1733
216	623
219	3
22	23
220	431
23	36266
238	7
239	13
24	7467
240	3
241	13502
242	2214
243	9442
244	866
245	29
246	529
247	754
248	2833
249	4899
250	9
251	4613
253	2732
254	23
255	126
256	5
257	20
258	20
259	48
26	1633
260	223
261	30
263	130
264	18
265	606814
266	1642
267	5
268	1
269	1012
27	518
270	7005
271	1116
272	1004
273	631
274	47
276	2
277	6002
278	6936
279	1015900
280	7
281	52
282	3
283	1
284	496
285	315467
286	8202
287	11
288	444
289	866
290	1590755
291	228
292	410
293	2877
294	714
295	32248
296	24
297	544
298	1017077
299	685
300	45
301	701
302	541
303	19440
304	12
305	4326
306	1777
307	309
308	11
309	1761
38	411
39	759
4	87
40	4
41	1647
42	2
43	18502
44	898
46	46103
47	224
48	17
49	405258
50	1
51	2047164
53	101311
56	66876
57	1048
59	14
6	13865
60	33045
61	221
62	27837
63	155
64	5302
65	148
66	1785
67	278
69	5176
7	391
71	46
72	30664
73	61
74	319
75	22745
76	16919
78	18
79	65665
8	44572
80	1924
81	13125
82	6292
83	125
84	321
85	98
86	361327
87	9
88	227
89	3
9	8366
91	3928
93	31
94	8
95	7
96	1220
97	25057
98	13831
99	441415
